time,value
1732463964353914185,1
1732463965354434315,1
1732463966355350355,1
1732463967363494293,1
1732463968356720934,1
1732463969357710660,1
1732463970356512292,1
1732463971355992904,1
1732463972355914207,1
1732463973355179746,1
1732463974355838165,1
1732463975362648723,1
1732463976354423274,1
1732463977355371044,1
1732463978353970931,1
1732463979357166388,1
1732463980354463340,1
1732463981355782552,1
1732463982355854046,1
1732463983354236665,1
1732463984358641370,1
1732463985355695840,1
1732463986354229293,1
1732463987346383159,1
1732463988368054990,1
1732463989356214037,1
1732463990355805325,1
1732463991355533155,1
1732463992361659084,1
1732463993355816785,1
1732463994354202990,1
1732463995358149397,1
1732463996355806514,1
1732463997369137187,1
1732463998362302103,1
1732463999361970794,1
1732464000448098706,1
1732464001361584140,1
1732464002362647707,1
1732464003362204960,1
1732464004361736986,1
1732464005367536797,1
1732464006361833717,1
1732464007365085409,1
1732464008361768446,1
1732464009361968579,1
1732464010364876850,1
1732464011361122329,1
1732464012360866100,1
1732464013361678206,1
1732464014363116212,1
1732464015361441154,1
1732464016362134149,1
1732464017361636699,1
1732464018361721818,1
1732464019369425263,1
1732464020361624015,1
1732464021360963301,1
1732464022473986270,1
1732464023363398318,1
1732464024362104943,1
1732464025361907644,1
1732464026362128828,1
1732464027369650544,1
1732464028361156301,1
1732464030579994670,1
1732464030582285007,1
1732464031361705988,1
1732464032361746083,1
1732464033362536469,1
1732464034362259532,1
1732464035360117351,1
1732464036359761507,1
1732464037359453072,1
1732464038362632799,1
1732464039352363512,1
1732464040360886468,1
1732464041457489565,1
1732464042362844114,1
1732464043359141309,1
1732464044362666362,1
1732464045362287434,1
1732464046362234084,1
1732464047362978415,1
1732464048361484054,1
1732464049361995049,1
1732464050362839215,1
1732464051362267888,1
1732464052369138889,1
1732464053362103982,1
1732464054362383975,1
1732464055361811787,1
1732464056362539436,1
1732464057372144793,1
1732464058364462687,1
1732464059364138431,1
1732464060432985476,1
1732464061364973310,1
1732464062363709911,1
1732464063366574802,1
1732464064364436037,1
1732464065371285779,1
1732464066365141044,1
1732464067379461356,1
1732464068365404718,1
1732464069365795998,1
1732464070365448881,1
1732464071365312786,1
1732464072365083648,1
